Biodiversity Policy,Climate Change Policy,Company,Company Id,Country,Date,Emissions Reduction Initiatives,Energy Efficiency Policy,Equal Opportunity Policy,Fair Remuneration Policy,Fiscal Year,Gender Pay Gap Breakout,Health Safety Policy,Human Rights Policy,Industry,Industry 2,Industry 3,Industry 4,Nb of Environmental Fines,Risks of Climate Change Discussed,Waste Reduction Policy,Water Policy,Years Auditor Employed,CO2 Emissions,CO2 per Sales,Direct CO2 Emissions,Energy Consumption,ESG Score,Indirect CO2 Emissions,Market Cap,Nb Fatalities,Nb of Employees,Pct Women in Management,Pct Women on Board,Row Id,Waste
N.A.,N.A.,Company 3,3,Argentina,01-Jan-14,N.A.,N.A.,N.A.,N.A.,2014,N.A.,N.A.,N.A.,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,N.A.,N.A.,N.A.,N.A.,N.A.,137.413,80.758,72.16,,9.48,65.253,9309.3256,,,,0.099589357,10876,
N.A.,N.A.,Company 3,3,Argentina,01-Jan-19,Y,Y,Y,N.A.,2019,N.A.,Y,N.A.,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,N.A.,N.A.,Y,Y,98,126.701,62.172,63.88,494.34,24.75,62.821,13249.9676,,16914.375,,0.122905559,10871,
N.A.,N.A.,Company 3,3,Argentina,01-Jan-17,N.A.,Y,Y,N.A.,2017,N.A.,Y,N.A.,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,N.A.,N.A.,Y,Y,91,135.543,43.85,71.987,545.66,24.9,63.556,10159.5363,,17593.35,,0.171306945,10873,
N,N,Company 4,4,China,01-Jan-15,N,N,Y,Y,2015,Y,Y,Y,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,N.A.,N,Y,Y,N.A.,0.703,23.377,0.386,,10.99,0.317,3156.455,,89.929,,0.169500075,10870,
N,N,Company 4,4,China,01-Jan-17,N,N,Y,Y,2017,Y,Y,Y,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,N.A.,N,Y,Y,N.A.,0.349,5.34,0.173,,14.51,0.176,3799.1307,,135.501,,0.140483724,10868,
N,N,Company 4,4,China,01-Jan-16,N,N,Y,Y,2016,Y,Y,Y,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,N.A.,N,Y,Y,N.A.,0.421,9.622,0.226,,14.42,0.195,3315.6734,,103.068,,0.124994319,10869,
N,N,Company 4,4,China,01-Jan-18,Y,N,Y,Y,2018,Y,Y,Y,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,N.A.,N,Y,Y,N.A.,0.373,2.41,0.201,,21.39,0.172,3871.033,,194.124,0.2758,0.150720342,10867,
Y,Y,Company 4,4,China,01-Jan-19,Y,N,Y,Y,2019,Y,Y,Y,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,N.A.,Y,Y,Y,N.A.,0.399,1.841,0.21,1.28,34.68,0.189,3582.6256,,105.094,0.3053,0.216816777,10866,0.029
Y,Y,Company 4,4,China,01-Jan-20,Y,N,Y,Y,2020,Y,Y,Y,Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,N.A.,Y,Y,Y,N.A.,0.421,2.345,0.207,1.68,32.79,0.214,3127.9598,,283.505,0.2919,0.256792280,10865,0.034
N,Y,Company 5,5,Austria,01-Jan-18,Y,Y,Y,Y,2018,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,1,684.928,38.113,348.139,2010.9,58.23,336.789,84527.6138,4,133785.16,,0.111747323,10860,289.3
N,Y,Company 5,5,Austria,01-Jan-19,Y,Y,Y,Y,2019,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,1,800.757,43.084,442.544,2263.79,50.62,358.213,90546.1734,2,162998.075,,0.149553145,10859,320.386
N,Y,Company 5,5,Austria,01-Jan-15,Y,Y,Y,Y,2015,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,N.A.,1557.089,52.719,744.523,2588.26,52.83,812.566,80466.9787,3,149555.337,,0.082808135,10863,300.017
N,Y,Company 5,5,Austria,01-Jan-20,Y,Y,Y,Y,2020,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,2,459.117,29.458,216.846,1651.63,47.17,242.271,86347.6877,2,108661.937,,0.138572964,10858,216.238
N,Y,Company 5,5,Austria,01-Jan-14,Y,Y,Y,Y,2014,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,N.A.,1743.638,49.564,824.219,2503.28,61.34,919.419,63751.1695,3,151704.036,,0.119083253,10864,305.635
N,Y,Company 5,5,Austria,01-Jan-17,Y,Y,Y,Y,2017,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,N.A.,789.467,34.354,378.756,2247.53,54.92,410.711,89685.3989,4,126794.339,,0.069252895,10861,299.698
N,Y,Company 5,5,Austria,01-Jan-16,Y,Y,Y,Y,2016,N,Y,Y,Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,N.A.,Y,Y,Y,N.A.,1488.18,58.567,777.265,2040.77,63.15,710.915,67509.8059,9,149168.054,,0.153689399,10862,304.317
N,Y,Company 6,6,Argentina,01-Jan-19,Y,Y,Y,Y,2019,N.A.,Y,Y,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,Y,Y,Y,5,1063.649,31.839,544.696,3629.99,49.64,518.953,242921.0275,,122873.097,0.2905,0.279293985,10852,69.028
Y,Y,Company 6,6,Argentina,01-Jan-17,Y,Y,Y,Y,2017,Y,Y,Y,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,Y,Y,4,1110.53,34.18,610.343,3172.27,56.23,500.187,251601.1826,,84682.599,,0.233808703,10854,59.258
N,Y,Company 6,6,Argentina,01-Jan-16,Y,Y,Y,Y,2016,N,Y,Y,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,3,N,Y,Y,2,985.54,61.175,485.73,3239.32,45.81,499.81,239277.9571,,105228.066,,0.322908694,10855,60.312
Y,Y,Company 6,6,Argentina,01-Jan-18,Y,Y,Y,Y,2018,Y,Y,Y,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,0,N,Y,Y,4,984.619,38.185,487.401,2847.34,44.79,497.218,249067.4974,,103407.213,,0.307305043,10853,53.365
N,Y,Company 6,6,Argentina,01-Jan-14,Y,Y,Y,Y,2014,N,Y,Y,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,3,N,Y,Y,1,967.676,80.254,521.398,3331.83,37.41,446.278,241506.5498,,76326.423,,0.254287888,10857,68.529
N,Y,Company 6,6,Argentina,01-Jan-15,Y,Y,Y,Y,2015,N,Y,Y,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,3,N,Y,Y,1,947.069,53.124,506.787,3262.14,46.74,440.282,233832.4543,,79107.419,,0.320216882,10856,64.453
N,Y,Company 7,7,Argentina,01-Jan-18,Y,Y,Y,N,2018,Y,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,4,628.766,18.849,341.816,1747.35,40.27,286.95,180222.7664,,29027.204,0.2661,0.197003306,10847,35.698
N,Y,Company 7,7,Argentina,01-Jan-17,Y,Y,Y,N,2017,Y,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,3,620.483,21.993,320.69,2091.94,40.38,299.793,248553.1459,,25394.003,0.3027,0.182590324,10848,31.317
N.A.,Y,Company 7,7,Argentina,01-Jan-20,Y,Y,Y,N.A.,2020,N.A.,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,7,531.247,10.069,245.071,2055.08,,286.176,224753.3261,,48575.212,,0.232113827,10845,36.103
N,Y,Company 7,7,Argentina,01-Jan-15,N,Y,Y,N,2015,N.A.,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,2,601.174,23.051,305.868,1934.69,32.65,295.306,185714.6998,,29903.393,,0.085917180,10850,44.863
N,Y,Company 7,7,Argentina,01-Jan-16,Y,Y,Y,N,2016,N,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,3,585.768,28.636,290.777,1788.81,32.99,294.991,167150.5889,,26502.915,0.2365,0.068612470,10849,38.807
N,Y,Company 7,7,Argentina,01-Jan-14,Y,Y,Y,N,2014,N.A.,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,1,634.605,,326.718,1927.05,34.42,307.887,193306.2551,,27395.794,,0.079798195,10851,38.746
N,Y,Company 7,7,Argentina,01-Jan-19,Y,Y,Y,N,2019,Y,Y,Y,Health Care,Health Care,Biotech & Pharma,Large Pharma,N.A.,N,Y,Y,5,625.957,26.537,299.827,1907.69,43.78,326.13,228518.2059,,31856.427,0.2879,0.179182808,10846,35.035
N,N,Company 8,8,Ecuador,01-Jan-17,N,N,N,N,2017,N,N,N,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N,N,N,10,5.71,16.292,2.836,,11.14,2.874,4909.4511,,7541.405,,0.067265299,10841,
N,N,Company 8,8,Ecuador,01-Jan-18,N,Y,N,N,2018,N,N,N,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N,N,N,8,11.756,19.368,5.729,,13.63,6.027,4948.5423,,8753.625,,0.09602589,10840,
N,N,Company 8,8,Ecuador,01-Jan-16,N,N,N,N,2016,N,N,N,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N,N,N,7,12.565,31.784,6.024,,11.04,6.541,4371.8394,,8588.409,,0.070430614,10842,
N,N,Company 8,8,Ecuador,01-Jan-15,N,N,N,N,2015,N,N,N,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N,N,N,6,13.413,23.524,7.034,,11.83,6.379,4770.1923,,7307.485,,0.061581284,10843,
N,N,Company 8,8,Ecuador,01-Jan-19,N,Y,N,N,2019,N,N,N,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N,N,N,10,11.671,14.507,6.078,,14.65,5.593,4613.0296,,7388.492,,0,10839,
N.A.,N.A.,Company 8,8,Ecuador,01-Jan-14,N.A.,N.A.,N.A.,N.A.,2014,N.A.,N.A.,N.A.,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N.A.,N.A.,N.A.,6,9.145,32.329,4.893,,9.13,4.252,3751.3373,,,,0.089672011,10844,
N,N,Company 8,8,Ecuador,01-Jan-20,N,Y,N,N,2020,N,N,N,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Specialty Apparel Stores,N.A.,N,N,N,11,13.21,14.549,6.231,,14.22,6.979,4103.544,,8843.92,,0,10838,
N,N,Company 9,9,Argentina,01-Jan-17,N,N,Y,N,2017,N,Y,N,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,N,N,10,6.928,20.718,3.552,,12.51,3.376,16637.3889,,1014.004,,0.259996579,10834,
N,N,Company 9,9,Argentina,01-Jan-16,N,N,Y,N,2016,N,Y,N,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,N,N,9,2.784,18.101,1.532,,16.76,1.252,15839.2827,,789.136,,0.178805911,10835,
N.A.,N.A.,Company 9,9,Argentina,01-Jan-14,N.A.,N.A.,N.A.,N.A.,2014,N.A.,N.A.,N.A.,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N.A.,N.A.,N.A.,6,2.934,43.199,1.404,,10.28,1.53,16669.468,,,,0.136450035,10837,
N,N,Company 9,9,Argentina,01-Jan-15,N,N,Y,N,2015,N,Y,N,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,N,N,7,3.487,33.624,1.779,,12.62,1.708,17061.9491,,581.901,,0.116061681,10836,
N,N,Company 9,9,Argentina,01-Jan-20,N,N,Y,N,2020,N,Y,N,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,N,N,10,7.846,19.635,3.668,,14.4,4.178,14682.1684,,1736.059,,0.285436535,10831,
N,N,Company 9,9,Argentina,01-Jan-19,N,N,Y,N,2019,N,Y,N,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,N,N,12,7.542,21.649,4.068,,17.16,3.474,13883.0269,,1256.498,,0.207292052,10832,
N,N,Company 9,9,Argentina,01-Jan-18,N,N,Y,N,2018,N,Y,N,Health Care,Health Care,Medical Equipment & Devices,Medical Devices,N.A.,N,N,N,8,5.045,23.201,2.67,,13.89,2.375,13434.0873,,1168.824,,0.225836029,10833,
Y,Y,Company 10,10,Colombia,01-Jan-17,Y,Y,Y,Y,2017,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,1,31.063,3.898,15.45,132.61,34.28,15.613,13030.6152,,21414.511,0.207,0.349884497,10827,2.87
Y,Y,Company 10,10,Colombia,01-Jan-20,Y,Y,Y,Y,2020,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,4,11.059,1.021,5.611,83.15,38.25,5.448,13351.2922,,18349.965,0.2606,0.334771272,10824,1.681
Y,Y,Company 10,10,Colombia,01-Jan-19,Y,Y,Y,Y,2019,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,3,26.983,1.393,13.062,111.69,52.06,13.921,13794.4042,,16915.358,0.1988,0.276711938,10825,1.785
Y,Y,Company 10,10,Colombia,01-Jan-18,Y,Y,Y,Y,2018,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,2,23.897,3.771,12.45,100.25,47.01,11.447,10871.596,,17474.037,0.1834,0.252569725,10826,2.602
Y,Y,Company 10,10,Colombia,01-Jan-16,Y,Y,Y,Y,2016,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,1,37.856,3.358,19.838,118.08,38.44,18.018,13517.1326,,22501.748,0.1825,0.305239785,10828,3.039
Y,Y,Company 10,10,Colombia,01-Jan-14,Y,Y,Y,Y,2014,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,N.A.,13.851,4.071,6.687,147.11,49.22,7.164,13493.1111,,18966.222,0.1776,0.301229870,10830,3.628
Y,Y,Company 10,10,Colombia,01-Jan-15,Y,Y,Y,Y,2015,Y,Y,Y,Financials,Banking,Banking,Banks,N.A.,Y,Y,Y,5,46.896,4.653,23.583,175.76,39.27,23.313,12221.1667,,22660.591,0.2192,0.288460114,10829,3.016
N,N,Company 11,11,Indonesia,01-Jan-18,N,N,N,Y,2018,N,N,N,Financials,Financial Services,Asset Management,Investment Management,N.A.,N,N,N,1,5.476,5.099,3.026,28.08,46.82,2.45,7960.4865,0,6945.497,0.2094,0.148269550,10822,
N,N,Company 11,11,Indonesia,01-Jan-19,N,N,N,Y,2019,N,N,N,Financials,Financial Services,Asset Management,Investment Management,N.A.,N,N,N,2,3.535,1.67,1.877,21.56,51.24,1.658,7731.9263,0,6681.588,0.336,0.334781176,10821,
N.A.,N.A.,Company 11,11,Indonesia,01-Jan-20,N.A.,N.A.,N,N.A.,2020,N.A.,N,N,Financials,Financial Services,Asset Management,Investment Management,N.A.,N,N.A.,N.A.,4,2.568,0.885,1.343,,,1.225,9360.8823,0,6204.76,0.3036,0.331430305,10820,
Y,N,Company 11,11,Indonesia,01-Jan-17,Y,N,N,Y,2017,N,N,N,Financials,Financial Services,Asset Management,Investment Management,0,N,Y,Y,1,7.294,9.337,3.797,51.49,51.49,3.497,9198.7042,0,10164.264,0.2507,0.175050200,10823,
N,Y,Company 12,12,Spain,01-Jan-20,Y,Y,Y,Y,2020,Y,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,15,29.712,4.38,15.712,386.52,,14,170323.5139,,468057.185,0.1661,0.343926959,10813,0.326
N,Y,Company 12,12,Spain,01-Jan-19,Y,Y,Y,Y,2019,Y,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,12,38.351,6.539,19.365,434.91,52.41,18.986,231777.4483,,453689.18,0.1967,0.327703264,10814,0.458
N,Y,Company 12,12,Spain,01-Jan-16,Y,Y,Y,N,2016,N,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,13,51.547,10.207,25.461,426.38,47.93,26.086,219269.1355,,365090.903,0.1641,0.367623832,10817,0.425
N,Y,Company 12,12,Spain,01-Jan-18,Y,Y,Y,N,2018,Y,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,11,47.017,7.128,23.906,408.69,40.53,23.111,190602.5709,,487585.606,0.1915,0.207947034,10815,0.587
N,Y,Company 12,12,Spain,01-Jan-17,Y,Y,Y,N,2017,N,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,10,48.903,9.796,23.227,495.69,44.41,25.676,238841.8512,,379650.853,0.1741,0.212795012,10816,0.305
N,Y,Company 12,12,Spain,01-Jan-14,Y,Y,Y,N,2014,N,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,11,58.44,9.59,28.058,354.49,36.59,30.382,188316.6868,,342794.291,0.1362,0.303579057,10819,0.272
N,Y,Company 12,12,Spain,01-Jan-15,Y,Y,Y,N,2015,N,Y,Y,Technology,Software & Tech Services,Technology Services,IT Services,N.A.,N,Y,Y,9,56.762,10.281,29.853,412.19,46.33,26.909,212527.1217,,338654.429,0.1115,0.33437192,10818,0.207
Y,Y,Company 13,13,Bulgaria,01-Jan-20,Y,Y,Y,N.A.,2020,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,6,Y,Y,Y,3,200.496,35.453,105.311,1903.29,51.18,95.185,9571.9319,,35158.438,,0.168378441,10806,6468.746
Y,Y,Company 13,13,Bulgaria,01-Jan-19,Y,Y,Y,N.A.,2019,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,7,Y,Y,Y,2,265.468,20.593,131.834,2092.2,52.29,133.634,7161.1005,,45229.405,,0.25080123,10807,3659.664
Y,Y,Company 13,13,Bulgaria,01-Jan-16,Y,Y,Y,N.A.,2016,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,15,N.A.,Y,Y,N.A.,1156.282,153.472,607.843,3489.17,62.63,548.439,8474.2209,5,34455.476,,0.206542261,10810,14144.931
Y,Y,Company 13,13,Bulgaria,01-Jan-15,Y,Y,Y,N.A.,2015,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,14,N.A.,Y,Y,N.A.,913.758,78.208,446.354,3006.58,49.71,467.404,8871.2382,0,36192.441,0.1633,0.229871691,10811,8795.607
Y,Y,Company 13,13,Bulgaria,01-Jan-14,Y,Y,Y,N.A.,2014,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,36,N.A.,Y,Y,N.A.,853.472,81.947,444.24,2011.65,60.07,409.232,8392.8477,7,29343.156,0.1297,0.151914616,10812,19262.568
Y,Y,Company 13,13,Bulgaria,01-Jan-18,Y,Y,Y,N.A.,2018,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,8,N.A.,Y,Y,1,273.753,64.526,141.818,2764.88,64.64,131.935,9725.5899,,39615.46,,0.242734541,10808,11463.707
Y,Y,Company 13,13,Bulgaria,01-Jan-17,Y,Y,Y,N.A.,2017,Y,Y,Y,Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,17,N.A.,Y,Y,1,1420.077,171.546,772.803,4904.48,65.91,647.274,8675.1578,,32953.996,,0.218614662,10809,18768.577
Y,Y,Company 14,14,United Kingdom,01-Jan-20,Y,Y,Y,Y,2020,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,Y,Y,Y,20,427.526,1017.016,225.025,2418.99,45.89,202.501,6994.8917,,166310.791,,0.442361073,10799,204.704
Y,Y,Company 14,14,United Kingdom,01-Jan-18,Y,Y,Y,Y,2018,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,Y,Y,Y,20,592.901,527.801,307.753,4422.55,49.59,285.148,9114.5494,,200807.731,,0.372764128,10801,195.448
Y,Y,Company 14,14,United Kingdom,01-Jan-17,Y,Y,Y,Y,2017,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,Y,Y,Y,22,503.409,726.043,233.175,4044.86,41.45,270.234,9435.1142,,180220.159,,0.366477956,10802,239.602
Y,Y,Company 14,14,United Kingdom,01-Jan-19,Y,Y,Y,Y,2019,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,Y,Y,Y,18,404.58,303.972,216.444,3196.92,47.19,188.136,7265.1341,,207444.431,,0.428275723,10800,263.211
Y,Y,Company 14,14,United Kingdom,01-Jan-15,Y,Y,Y,Y,2015,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,N,Y,Y,20,605.571,904.587,314.337,3977.86,46.59,291.234,10122.6569,,131970.846,,0.395492617,10804,175.203
Y,Y,Company 14,14,United Kingdom,01-Jan-14,Y,Y,Y,Y,2014,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,N,Y,Y,N.A.,514.814,371.121,263.818,3290.31,42.55,250.996,7885.9786,,137639.501,,0.301729895,10805,160.577
Y,Y,Company 14,14,United Kingdom,01-Jan-16,Y,Y,Y,Y,2016,Y,Y,Y,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,N.A.,N,Y,Y,22,558.229,1387.922,292.47,3653.16,37.78,265.759,7482.0198,,138121.089,,0.388535211,10803,180.52
